N_e,N_b,M_e,M_b,K,p,c,t,rf,theta_e,theta_b,precision_e,precision_b,CF_BL,BL
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,100,1000,-0.4000000000000066,-323.00000000032065
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,10,1000,-0.1296407238326218,-323.00645340879606
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,10,1000,-0.12964072383173136,-323.00645340884364
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,1000,1000,-0.3999999999997759,-323.00000135866037
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,10,1000,-0.12964073129093248,-323.00645476692944
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,100,1000,-0.1506770201442634,-323.0270730116966
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,10,100,-0.06875528373583589,-323.00645340849695
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,100,100,-0.11100649135301371,-323.00000001098573
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,10,10,0.23118752418669208,-323.00918222564815
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,1000,100,-0.0010761893916000078,-323.00000304423827
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,10,100,0.09033384130142665,-323.0064564525074
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,100,100,-0.002131847130463306,-323.000343041577
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,1000,100,-3.465330975213621e-13,-327.19771952786425
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,100,10,-1.2214034360298912e-06,-323.00272881726903
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,10,100,0.22931203747030673,-327.2041729361334
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,1000,100,-7.872614633523738e-08,-323.0165191293554
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.2,10,100,0.11956692762329521,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,100,100,-0.4000000000000066,-323.0000000000771
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.3,10,100,0.21876489682864253,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.35,1000,1000,-1.1084937504114715e-14,-334.69494612608025
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,10,100,0.18285710307533454,-323.0229725376245
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.35,100,100,-3.1082925354015674e-08,-372.814152479411
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,100,100,-1.8343090045866753e-05,-323.3619385372637
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.3,1000,100,-2.3771745843342744e-20,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.9,1000,100,-0.3999999999997759,-323.00000000018713
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.35,10,1000,0.22834586958126032,-334.7013995343494
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.1,1000,100,-1.1514075005600767e-35,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.15,100,100,-2.855286325691336e-14,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.2,1000,100,-1.3185340857288394e-27,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.25,100,100,-4.554152635998102e-11,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.95,10,1000,-0.12964072383312827,-323.00645340918743
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.3,100,1000,-5.874030386741508e-17,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.2,100,10,-1.4369014734263652e-08,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.25,1000,10,-7.692023340525357e-18,0
